0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	a
11	b
12	c
13	d
14	e
15	f
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1a
27	1b
28	1c
29	1d
30	1e
31	1f
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2a
43	2b
44	2c
45	2d
46	2e
47	2f
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3a
59	3b
60	3c
61	3d
62	3e
63	3f
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4a
75	4b
76	4c
77	4d
78	4e
79	4f
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5a
91	5b
92	5c
93	5d
94	5e
95	5f
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6a
107	6b
108	6c
109	6d
110	6e
111	6f
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7a
123	7b
124	7c
125	7d
126	7e
127	7f
128	80
129	81
130	82
131	83
132	84
133	85
134	86
135	87
136	88
137	89
138	8a
139	8b
140	8c
141	8d
142	8e
143	8f
144	90
145	91
146	92
147	93
148	94
149	95
150	96
151	97
152	98
153	99
154	9a
155	9b
156	9c
157	9d
158	9e
159	9f
160	a0
161	a1
162	a2
163	a3
164	a4
165	a5
166	a6
167	a7
168	a8
169	a9
170	aa
171	ab
172	ac
173	ad
174	ae
175	af
176	b0
177	b1
178	b2
179	b3
180	b4
181	b5
182	b6
183	b7
184	b8
185	b9
186	ba
187	bb
188	bc
189	bd
190	be
191	bf
192	c0
193	c1
194	c2
195	c3
196	c4
197	c5
198	c6
199	c7
200	c8
201	c9
202	ca
203	cb
204	cc
205	cd
206	ce
207	cf
208	d0
209	d1
210	d2
211	d3
212	d4
213	d5
214	d6
215	d7
216	d8
217	d9
218	da
219	db
220	dc
221	dd
222	de
223	df
224	e0
225	e1
226	e2
227	e3
228	e4
229	e5
230	e6
231	e7
232	e8
233	e9
234	ea
235	eb
236	ec
237	ed
238	ee
239	ef
240	f0
241	f1
242	f2
243	f3
244	f4
245	f5
246	f6
247	f7
248	f8
249	f9
250	fa
251	fb
252	fc
253	fd
254	fe
255	ff
256	100
257	101
258	102
259	103
260	104
261	105
262	106
263	107
264	108
265	109
266	10a
267	10b
268	10c
269	10d
270	10e
271	10f
272	110
273	111
274	112
275	113
276	114
277	115
278	116
279	117
280	118
281	119
282	11a
283	11b
284	11c
285	11d
286	11e
287	11f
288	120
289	121
290	122
291	123
292	124
293	125
294	126
295	127
296	128
297	129
298	12a
299	12b
300	12c
301	12d
302	12e
303	12f
304	130
305	131
306	132
307	133
308	134
309	135
310	136
311	137
312	138
313	139
314	13a
315	13b
316	13c
317	13d
318	13e
319	13f
320	140
321	141
322	142
323	143
324	144
325	145
326	146
327	147
328	148
329	149
330	14a
331	14b
332	14c
333	14d
334	14e
335	14f
336	150
337	151
338	152
339	153
340	154
341	155
342	156
343	157
344	158
345	159
346	15a
347	15b
348	15c
349	15d
350	15e
351	15f
352	160
353	161
354	162
355	163
356	164
357	165
358	166
359	167
360	168
361	169
362	16a
363	16b
364	16c
365	16d
366	16e
367	16f
368	170
369	171
370	172
371	173
372	174
373	175
374	176
375	177
376	178
377	179
378	17a
379	17b
380	17c
381	17d
382	17e
383	17f
384	180
385	181
386	182
387	183
388	184
389	185
390	186
391	187
392	188
393	189
394	18a
395	18b
396	18c
397	18d
398	18e
399	18f
400	190
401	191
402	192
403	193
404	194
405	195
406	196
407	197
408	198
409	199
410	19a
411	19b
412	19c
413	19d
414	19e
415	19f
416	1a0
417	1a1
418	1a2
419	1a3
420	1a4
421	1a5
422	1a6
423	1a7
424	1a8
425	1a9
426	1aa
427	1ab
428	1ac
429	1ad
430	1ae
431	1af
432	1b0
433	1b1
434	1b2
435	1b3
436	1b4
437	1b5
438	1b6
439	1b7
440	1b8
441	1b9
442	1ba
443	1bb
444	1bc
445	1bd
446	1be
447	1bf
448	1c0
449	1c1
450	1c2
451	1c3
452	1c4
453	1c5
454	1c6
455	1c7
456	1c8
457	1c9
458	1ca
459	1cb
460	1cc
461	1cd
462	1ce
463	1cf
464	1d0
465	1d1
466	1d2
467	1d3
468	1d4
469	1d5
470	1d6
471	1d7
472	1d8
473	1d9
474	1da
475	1db
476	1dc
477	1dd
478	1de
479	1df
480	1e0
481	1e1
482	1e2
483	1e3
484	1e4
485	1e5
486	1e6
487	1e7
488	1e8
489	1e9
490	1ea
491	1eb
492	1ec
493	1ed
494	1ee
495	1ef
496	1f0
497	1f1
498	1f2
499	1f3
500	1f4
501	1f5
502	1f6
503	1f7
504	1f8
505	1f9
506	1fa
507	1fb
508	1fc
509	1fd
510	1fe
511	1ff
512	200
513	201
514	202
515	203
516	204
517	205
518	206
519	207
520	208
521	209
522	20a
523	20b
524	20c
525	20d
526	20e
527	20f
528	210
529	211
530	212
531	213
532	214
533	215
534	216
535	217
536	218
537	219
538	21a
539	21b
540	21c
541	21d
542	21e
543	21f
544	220
545	221
546	222
547	223
548	224
549	225
550	226
551	227
552	228
553	229
554	22a
555	22b
556	22c
557	22d
558	22e
559	22f
560	230
561	231
562	232
563	233
564	234
565	235
566	236
567	237
568	238
569	239
570	23a
571	23b
572	23c
573	23d
574	23e
575	23f
576	240
577	241
578	242
579	243
580	244
581	245
582	246
583	247
584	248
585	249
586	24a
587	24b
588	24c
589	24d
590	24e
591	24f
592	250
593	251
594	252
595	253
596	254
597	255
598	256
599	257
600	258
601	259
602	25a
603	25b
604	25c
605	25d
606	25e
607	25f
608	260
609	261
610	262
611	263
612	264
613	265
614	266
615	267
616	268
617	269
618	26a
619	26b
620	26c
621	26d
622	26e
623	26f
624	270
625	271
626	272
627	273
628	274
629	275
630	276
631	277
632	278
633	279
634	27a
635	27b
636	27c
637	27d
638	27e
639	27f
640	280
641	281
642	282
643	283
644	284
645	285
646	286
647	287
648	288
649	289
650	28a
651	28b
652	28c
653	28d
654	28e
655	28f
656	290
657	291
658	292
659	293
660	294
661	295
662	296
663	297
664	298
665	299
666	29a
667	29b
668	29c
669	29d
670	29e
671	29f
672	2a0
673	2a1
674	2a2
675	2a3
676	2a4
677	2a5
678	2a6
679	2a7
680	2a8
681	2a9
682	2aa
683	2ab
684	2ac
685	2ad
686	2ae
687	2af
688	2b0
689	2b1
690	2b2
691	2b3
692	2b4
693	2b5
694	2b6
695	2b7
696	2b8
697	2b9
698	2ba
699	2bb
700	2bc
701	2bd
702	2be
703	2bf
704	2c0
705	2c1
706	2c2
707	2c3
708	2c4
709	2c5
710	2c6
711	2c7
712	2c8
713	2c9
714	2ca
715	2cb
716	2cc
717	2cd
718	2ce
719	2cf
720	2d0
721	2d1
722	2d2
723	2d3
724	2d4
725	2d5
726	2d6
727	2d7
728	2d8
729	2d9
730	2da
731	2db
732	2dc
733	2dd
734	2de
735	2df
736	2e0
737	2e1
738	2e2
739	2e3
740	2e4
741	2e5
742	2e6
743	2e7
744	2e8
745	2e9
746	2ea
747	2eb
748	2ec
749	2ed
750	2ee
751	2ef
752	2f0
753	2f1
754	2f2
755	2f3
756	2f4
757	2f5
758	2f6
759	2f7
760	2f8
761	2f9
762	2fa
763	2fb
764	2fc
765	2fd
766	2fe
767	2ff
768	300
769	301
770	302
771	303
772	304
773	305
774	306
775	307
776	308
777	309
778	30a
779	30b
780	30c
781	30d
782	30e
783	30f
784	310
785	311
786	312
787	313
788	314
789	315
790	316
791	317
792	318
793	319
794	31a
795	31b
796	31c
797	31d
798	31e
799	31f
800	320
801	321
802	322
803	323
804	324
805	325
806	326
807	327
808	328
809	329
810	32a
811	32b
812	32c
813	32d
814	32e
815	32f
816	330
817	331
818	332
819	333
820	334
821	335
822	336
823	337
824	338
825	339
826	33a
827	33b
828	33c
829	33d
830	33e
831	33f
832	340
833	341
834	342
835	343
836	344
837	345
838	346
839	347
840	348
841	349
842	34a
843	34b
844	34c
845	34d
846	34e
847	34f
848	350
849	351
850	352
851	353
852	354
853	355
854	356
855	357
856	358
857	359
858	35a
859	35b
860	35c
861	35d
862	35e
863	35f
864	360
865	361
866	362
867	363
868	364
869	365
870	366
871	367
872	368
873	369
874	36a
875	36b
876	36c
877	36d
878	36e
879	36f
880	370
881	371
882	372
883	373
884	374
885	375
886	376
887	377
888	378
889	379
890	37a
891	37b
892	37c
893	37d
894	37e
895	37f
896	380
897	381
898	382
899	383
900	384
901	385
902	386
903	387
904	388
905	389
