0	0	0	0
1	0	0	0
2	-95	-95	ffffffa1
3	15	15	f
4	-128	-128	ffffff80
5	0	0	0
6	0	0	0
7	0	0	0
8	30	30	1e
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	24	24	18
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	80	80	50
21	0	0	0
22	28	28	1c
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	16	16	10
30	0	0	0
31	0	0	0
32	80	80	50
33	0	0	0
34	25	25	19
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	24	24	18
42	0	0	0
43	0	0	0
44	2	2	2
45	0	0	0
46	80	80	50
47	0	0	0
48	97	97	61
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	24	24	18
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	80	80	50
61	0	0	0
62	30	30	1e
63	0	0	0
64	0	0	0
65	0	0	0
66	1	1	1
67	0	0	0
68	2	2	2
69	0	0	0
70	1	1	1
71	0	0	0
72	20	20	14
73	0	0	0
74	28	28	1c
75	0	0	0
76	0	0	0
77	0	0	0
78	2	2	2
79	0	0	0
80	6	6	6
81	0	0	0
82	2	2	2
83	0	0	0
84	20	20	14
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	5	5	5
90	25	25	19
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	6	6	6
97	0	0	0
98	20	20	14
99	0	0	0
100	-1	-1	ffffffff
101	51	51	33
102	0	0	0
103	-2	-2	fffffffe
104	96	96	60
105	0	0	0
106	0	0	0
107	0	0	0
108	4	4	4
109	0	0	0
110	3	3	3
111	0	0	0
112	4	4	4
113	0	0	0
114	1	1	1
115	0	0	0
116	24	24	18
117	0	0	0
118	1	1	1
119	0	0	0
120	0	0	0
121	0	0	0
122	4	4	4
123	0	0	0
124	7	7	7
125	0	0	0
126	4	4	4
127	0	0	0
128	1	1	1
129	0	0	0
130	24	24	18
131	0	0	0
132	-1	-1	ffffffff
133	51	51	33
134	0	0	0
135	-2	-2	fffffffe
